Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1573857271.4930108,58468,674,304318020,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.009986854087797143,-0.004527373853134705,0.0195742340120824,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-0.23702596435546874,1.1156979736328125,8.379705810546875,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857271.5082452,58469,674,314318050,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.008655273542757524,-0.01265001517787638,0.018375811521546742,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-0.42377369384765623,1.189918225097656,8.793902697753905,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857271.5131092,58470,674,324318430,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.009321063815277333,-0.02090581455712202,0.012117382959860534,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-0.32561142578124996,1.1133037719726562,8.585607153320312,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857271.5235205,58471,674,334318030,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0055926382891664,-0.00905474770626941,0.013049489341388266,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-0.11731588134765625,1.1851298217773436,8.384494213867187,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857271.5331712,58472,674,344318430,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.007190534943213943,0.004127899689622819,0.017044230976507122,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,0.011971008300781249,1.3120225097656248,8.834604125976561,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857271.5430043,58473,674,354318430,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.007856325215733753,0.008788431597261486,0.017710021249026934,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-0.023942016601562498,1.20667763671875,8.303091357421874,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857271.5530992,58474,674,364318050,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0035952674716069714,-0.0015978966540475428,0.016245282649483352,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-0.36631285400390623,1.3192051147460937,8.767566479492187,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857271.570444,58475,674,374318040,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.003994741635118857,-0.013315805450396189,0.015579492376963544,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-0.37828386230468747,1.2521674682617188,8.465897070312499,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857271.57314,58476,674,384318050,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005858954398174323,-0.012117382959860534,0.015579492376963544,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-0.2154781494140625,1.2952630981445312,8.552088330078124,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857271.58306,58477,674,394318390,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005193164125654515,-0.0009321063815277333,0.017710021249026934,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-0.03591302490234375,1.4101847778320311,8.688557824707031,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857271.5928957,58478,674,404318060,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.007590009106725828,-0.0029294771990871615,0.023968449810713145,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-0.25139117431640623,1.189918225097656,8.305485559082031,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857271.6032727,58479,674,414318060,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0073236929977179045,-0.008788431597261486,0.01744370514001901,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-0.36152445068359373,1.3527239379882812,8.700528833007812,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857271.6132772,58480,674,424318010,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.004793689962142629,-0.017976337358034857,0.015180018213451656,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-0.2346317626953125,1.3096283081054687,8.480262280273436,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857271.6230807,58481,674,434318050,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0027963191445832,-0.016378440703987314,0.015712650431467506,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-0.11252747802734374,1.22583125,8.564059338378906,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857271.632973,58482,674,444318150,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005725796343670361,0.003994741635118857,0.02170476288414579,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-0.023942016601562498,1.2306196533203124,8.674192614746094,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
